school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
Phoenix High School,1,2,,,,,,,,,,78.35,8.13,8.4
Pickens County High School,13,176,283,180,63.6,21.3,19.1,20.4,24.8,20.6,12,95.35,50.33,1.5
Pickens County Junior High School,2,,,,,,,,,,,,,
Piedmont Learning Center,1,1,,,,,,,,,,,,
Pierce County High School,,,,,,19.9,17.7,19.8,21.3,20.5,15,95.93,55.51,0.9
Pike County High School,16,179,279,196,70.3,22.5,20.5,21.4,24.6,22.9,14,94.85,56.07,0.9
Pike County Middle School,1,,,,,,,,,,,,,
Pinckneyville Middle School,5,10,14,10,71.4,,,,,,,,,
Pine Mountain Middle School,7,,,,,,,,,,,,,
Pleasant Valley Innovative School,,,,,,,,,,,,88.89,16.13,5.6
Polaris Evening School,3,2,,,,,,,,,,,,
Pope High School,30,776,1865,1666,89.3,25.5,25.3,24.4,27.2,24.6,119,98.16,75.47,0.7
Portal Middle/High School,2,11,11,3,27.3,20.6,20.2,18.7,22.2,20.4,10,91.36,37.84,6.7
Promise Career Institute School,,,,,,,,,,,,,,5.6
Provost Academy Georgia,6,10,10,,,17.3,15.5,18.3,17.1,17.5,11,18.09,2.9,31.3
Putnam County High School,13,90,144,70,48.6,17.2,15.5,16.1,18.6,18.3,18,92.04,32.46,1.0
Putnam County Middle School,3,,,,,,,,,,,,,
Quitman County High School,1,9,15,1,6.7,14.2,12.8,14.4,14.3,15.5,11,100.0,26.32,
Rabun County High School,5,67,82,70,85.4,19.8,18.3,19.7,20.7,20.1,14,90.85,50.0,2.0
Radloff Middle School,4,,,,,,,,,,,,,
Rainey McCullers School of the Arts,11,61,104,66,63.5,,,,,,,100.0,72.22,
Randolph Clay High School,1,12,12,1,8.3,14.8,13.4,14.8,15.8,14.5,10,94.23,24.66,6.0
Redan High School,9,144,187,45,24.1,15.0,12.8,15.1,16.0,15.9,13,88.52,30.17,3.0
Rex Mill Middle School,1,,,,,,,,,,,,,
Richards Middle School,8,,,,,,,,,,,,,
Richmond County Technical Career Magnet School,,,,,,,,,,,,100.0,71.15,
Richmond Hill High School,26,401,771,715,92.7,20.3,18.5,19.5,22.1,20.6,45,95.76,51.6,0.8
Ridgeland High School,14,180,322,267,82.9,19.3,18.4,18.0,20.4,19.7,47,92.9,32.6,2.2
Ringgold High School,10,154,172,108,62.8,20.6,19.4,19.6,21.8,21.0,60,92.47,57.94,1.0
Rising Starr Middle School,1,,,,,,,,,,,,,
River Ridge High School,30,522,1163,997,85.7,23.4,22.6,22.4,24.6,23.5,69,95.68,63.69,0.8
River Trail Middle School,2,,,,,,,,,,,,,
Riverdale High School,2,31,31,14,45.2,14.4,12.2,14.5,15.8,15.3,10,89.08,30.86,2.9
Riverwatch Middle School,1,,,,,,,,,,,,,
Riverwood International Charter School,25,682,1114,848,76.1,24.8,25.2,23.5,25.9,24.1,101,97.08,61.54,3.3
Rockdale County High School,26,540,1069,480,44.9,18.5,17.3,17.1,20.5,18.8,86,87.91,48.61,2.8
Rockdale Open Campus School,,,,,,,,,,,,49.38,,8.4
Rockmart High School,10,188,239,104,43.5,20.8,19.4,20.5,22.0,21.0,13,93.48,54.38,1.5
Rome High School,25,300,622,475,76.4,20.4,19.3,20.1,22.0,20.4,30,95.69,43.28,0.5
Roswell High School,32,695,1417,1272,89.8,23.6,23.7,22.4,24.6,23.3,109,93.51,60.17,2.7
Rutland High School,6,77,102,23,22.5,16.5,14.6,15.2,18.3,17.4,13,90.43,44.61,1.5
Rutland Middle School,3,,,,,,,,,,,,,
Salem High School,15,257,358,47,13.1,17.5,16.5,15.8,18.8,18.4,11,92.11,36.18,2.0
Salem Middle School,2,,,,,,,,,,,,,
Sandy Creek High School,16,349,568,354,62.3,19.9,18.5,19.1,20.9,20.5,40,93.42,41.28,1.1
Savannah Arts Academy,31,457,878,729,83.0,24.9,25.1,23.4,26.3,24.4,27,100.0,72.3,
Savannah Classical Academy Charter High School,3,30,31,18,58.1,,,,,,,100.0,58.33,
Savannah Early College High School,,,,,,,,,,,,100.0,68.29,
Savannah-Chatham E-Learning Academy,4,16,17,,,,,,,,,84.52,33.8,5.4
Schley Middle High School,3,47,58,27,46.6,20.4,19.5,18.4,22.6,20.2,17,95.4,72.29,
School of Health Sciences and Research at Carver,7,76,88,,,12.9,10.9,14.3,12.6,13.3,42,69.07,,11.8
School of Technology at Carver,4,13,18,1,5.6,14.9,12.8,15.7,15.9,14.9,27,76.19,13.89,6.9
Screven County High School,7,59,91,82,90.1,22.0,20.7,21.9,23.0,21.7,14,88.51,46.92,1.8
Seckinger High School,28,924,2112,1674,79.3,21.5,21.5,21.6,21.3,21.5,24,97.4,58.62,1.0
Second Chance,,,,,,,,,,,,81.25,,
Seminole County Middle/High School,8,75,122,47,38.5,19.8,18.8,18.2,21.5,19.8,13,89.15,57.14,2.4
Sequoyah High School,25,573,1426,1202,84.3,23.2,22.5,22.2,24.0,23.7,71,94.65,64.39,0.6
Sequoyah Middle School,1,,,,,,,,,,,,,
Shaw High School,19,158,227,53,23.3,17.9,16.6,17.2,19.3,18.3,31,96.98,32.33,0.7
